Genes,Transcription-Direction,Left-End-Position,Right-End-Position,,,,,,,,,
hflX,+,4398695,4399975,,,,,,,,,
hflK,+,4400061,4401320,,,,,,,,,
hflC,+,4401323,4402327,,,,,,,,,
yjeT,+,4402409,4402606,,,,,,,,,
purA,+,4402710,4404008,,,,,,,,,
nsrR,+,4404213,4404638,,,,,,,,,
rnr,+,4404677,4407118,,,,,,,,,
rlmB,+,4407298,4408029,,,,,,,,,
yjfI,+,4408156,4408557,,,,,,,,,
yjfJ,+,4408576,4409274,,,,,,,,,
yjfK,+,4409325,4409984,,,,,,,,,
yjfL,+,4410002,4410400,,,,,,,,,
yjfM,+,4410410,4411048,,,,,,,,,
yjfC,+,4411051,4412214,,,,,,,,,
aidB,+,4412298,4413923,,,,,,,,,
yjfN,-,4414040,4414315,,,,,,,,,
bsmA,-,4414464,4414793,,,,,,,,,
yjfP,+,4414975,4415724,,,,,,,,,
ulaR,-,4415721,4416476,,,,,,,,,
ulaG,-,4416584,4417648,,,,,,,,,
ulaA,+,4418003,4419400,,,,,,,,,
ulaB,+,4419416,4419721,,,,,,,,,
ulaC,+,4419731,4420195,,,,,,,,,
ulaD,+,4420209,4420859,,,,,,,,,
ulaE,+,4420869,4421723,,,,,,,,,
ulaF,+,4421723,4422409,,,,,,,,,
yjfY,-,4422539,4422814,,,,,,,,,
rpsF,+,4423141,4423536,,,,,,,,,
priB,+,4423543,4423857,,,,,,,,,
rpsR,+,4423862,4424089,,,,,,,,,
rplI,+,4424131,4424580,,,,,,,,,
yjfZ,-,4424651,4425445,,,,,,,,,
ytfA,+,4425792,4426118,,,,,,,,,
ytfB,-,4426102,4426740,,,,,,,,,
fklB,+,4426958,4427578,,,,,,,,,
cycA,+,4427887,4429299,,,,,,,,,
ytfE,-,4429344,4430006,,,,,,,,,
ytfF,-,4430114,4431088,,,,,,,,,
ytfG,-,4431187,4432047,,,,,,,,,
ytfH,+,4432136,4432516,,,,,,,,,
cpdB,-,4432645,4434588,,,,,,,,,
cysQ,+,4434778,4435518,,,,,,,,,
ytfI,+,4435730,4436668,,,,,,,,,
ytfJ,-,4436731,4437285,,,,,,,,,
ytfK,+,4437610,4437816,,,,,,,,,
ytfL,-,4437895,4439238,,,,,,,,,
G0-10706,-,4439248,4439353,,,,,,,,,
msrA,-,4439561,4440199,,,,,,,,,
tamA,+,4440405,4442138,,,,,,,,,
tamB,+,4442135,4445914,,,,,,,,,
ytfP,+,4445917,4446258,,,,,,,,,
yzfA,-,4445999,4446268,,,,,,,,,
chpS,+,4446470,4446721,,,,,,,,,
chpB,+,4446715,4447065,,,,,,,,,
ppa,-,4447145,4447675,,,,,,,,,
ytfQ,+,4447985,4448941,,,,,,,,,
ytfR,+,4449081,4450583,,,,,,,,,
ytfT,+,4450597,4451619,,,,,,,,,
yjfF,+,4451606,4452601,,,,,,,,,
fbp,-,4452634,4453632,,,,,,,,,
mpl,+,4453808,4455181,,,,,,,,,
yjgA,-,4455337,4455888,,,,,,,,,
pmbA,+,4455982,4457334,,,,,,,,,
nrdG,-,4457923,4458387,,,,,,,,,
nrdD,-,4458545,4460683,,,,,,,,,
treC,-,4461077,4462732,,,,,,,,,
treB,-,4462782,4464203,,,,,,,,,
treR,-,4464322,4465269,,,,,,,,,
mgtL,+,4465454,4465507,,,,,,,,,
mgtA,+,4465648,4468344,,,,,,,,,
ridA,-,4468550,4468936,,,,,,,,,
pyrI,-,4469009,4469470,,,,,,,,,
pyrB,-,4469483,4470418,,,,,,,,,
pyrL,-,4470422,4470556,,,,,,,,,
yjgH,-,4470837,4471232,,,,,,,,,
bdcA,-,4471363,4472076,,,,,,,,,
bdcR,+,4472147,4472740,,,,,,,,,
tabA,+,4472885,4473337,,,,,,,,,
yjgL,+,4473460,4475274,,,,,,,,,
argI,-,4475330,4476334,,,,,,,,,
rraB,+,4476496,4476912,,,,,,,,,
yjgM,-,4477057,4477560,,,,,,,,,
yjgN,+,4477753,4478949,,,,,,,,,
valS,-,4479005,4481860,,,,,,,,,
holC,-,4481860,4482303,,,,,,,,,
pepA,-,4482463,4483974,,,,,,,,,
lptF,+,4484241,4485341,,,,,,,,,
lptG,+,4485341,4486423,,,,,,,,,
yjgR,-,4486584,4488086,,,,,,,,,
idnR,-,4488164,4489162,,,,,,,,,
idnT,-,4489229,4490548,,,,,,,,,
idnO,-,4490610,4491374,,,,,,,,,
idnD,-,4491398,4492429,,,,,,,,,
idnK,+,4492646,4493209,,,,,,,,,
ahr,-,4493213,4494232,,,,,,,,,
leuX,+,4494428,4494512,,,,,,,,,
intB,+,4494773,4495963,,,,,,,,,
insC-6,+,4496250,4496660,,,,,,,,,
insCD-6,+,4496250,4497523,,,,,,,,,
insD-6,+,4496618,4497523,,,,,,,,,
yjgW,+,4497622,4497957,,,,,,,,,
yjgZ,+,4499283,4499612,,,,,,,,,
insG,-,4500126,4501454,,,,,,,,,
yjhB,+,4502081,4503298,,,,,,,,,
yjhC,+,4503310,4504428,,,,,,,,,
ythA,+,4504471,4504596,,,,,,,,,
yjhD,-,4504649,4504879,,,,,,,,,
insN-2,+,4505220,4505486,,,,,,,,,
insI-3,-,4505489,4506640,,,,,,,,,
insO-2,+,4506981,4507577,,,,,,,,,
yjhV,+,4507743,4508156,,,,,,,,,
fecE,-,4508713,4509480,,,,,,,,,
fecD,-,4509481,4510437,,,,,,,,,
fecC,-,4510434,4511432,,,,,,,,,
fecB,-,4511429,4512331,,,,,,,,,
fecA,-,4512376,4514700,,,,,,,,,
fecR,-,4514787,4515740,,,,,,,,,
fecI,-,4515737,4516258,,,,,,,,,
insA-7,+,4516550,4516825,,,,,,,,,
yjhU,-,4517361,4518347,,,,,,,,,
yjhF,-,4518694,4520043,,,,,,,,,
yjhG,-,4520150,4522117,,,,,,,,,
yjhH,-,4522128,4523033,,,,,,,,,
yjhI,-,4523038,4523826,,,,,,,,,
sgcR,-,4524129,4524911,,,,,,,,,
sgcE,-,4524928,4525560,,,,,,,,,
sgcA,-,4525572,4526003,,,,,,,,,
ryjB,+,4526000,4526089,,,,,,,,,
sgcQ,-,4526134,4526940,,,,,,,,,
sgcC,-,4526953,4528266,,,,,,,,,
sgcB,-,4528278,4528556,,,,,,,,,
sgcX,-,4528553,4529674,,,,,,,,,
yjhP,-,4530460,4531206,,,,,,,,,
yjhQ,-,4531262,4531807,,,,,,,,,
yjhX,-,4531819,4532076,,,,,,,,,
yjhR,+,4533038,4534054,,,,,,,,,
nanS,-,4534637,4535617,,,,,,,,,
nanM,-,4535682,4536788,,,,,,,,,
nanC,-,4536808,4537524,,,,,,,,,
fimB,+,4538980,4539582,,,,,,,,,
fimE,+,4540060,4540656,,,,,,,,,
fimA,+,4541138,4541686,,,,,,,,,
fimI,+,4541751,4542290,,,,,,,,,
fimC,+,4542327,4543052,,,,,,,,,
fimD,+,4543119,4545755,,,,,,,,,
fimF,+,4545765,4546295,,,,,,,,,
fimG,+,4546308,4546811,,,,,,,,,
fimH,+,4546831,4547733,,,,,,,,,
gntP,-,4547976,4549319,,,,,,,,,
uxuA,+,4549659,4550843,,,,,,,,,
uxuB,+,4550924,4552384,,,,,,,,,
uxuR,+,4552599,4553372,,,,,,,,,
yjiC,-,4553513,4554343,,,,,,,,,
iraD,+,4555016,4555408,,,,,,,,,
hypT,-,4555401,4556312,,,,,,,,,
iadA,-,4556377,4557549,,,,,,,,,
yjiG,-,4557562,4558023,,,,,,,,,
yjiH,-,4558020,4558703,,,,,,,,,
kptA,+,4558953,4559507,,,,,,,,,
yjiJ,-,4559520,4560698,,,,,,,,,
yjiK,-,4560766,4561734,,,,,,,,,
yjiL,-,4561945,4562712,,,,,,,,,
yjiM,-,4562722,4563873,,,,,,,,,
yjiN,-,4563989,4565269,,,,,,,,,
mdtM,-,4565310,4566542,,,,,,,,,
yjiP,+,4567021,4567332,,,,,,,,,
yjiQ,+,4567381,4567941,,,,,,,,,
yjiR,-,4568185,4569597,,,,,,,,,
yjiS,+,4569774,4569938,,,,,,,,,
yjiT,+,4570437,4571954,,,,,,,,,
mcrC,-,4574935,4575981,,,,,,,,,
mcrB,-,4575981,4577360,,,,,,,,,
symE,-,4577522,4577863,,,,,,,,,
symR,+,4577858,4577934,,,,,,,,,
hsdS,-,4578091,4579485,,,,,,,,,
hsdM,-,4579482,4581071,,,,,,,,,
hsdR,-,4581272,4584838,,,,,,,,,
mrr,+,4584972,4585886,,,,,,,,,
yjiA,-,4585932,4586888,,,,,,,,,
yjiX,-,4586899,4587102,,,,,,,,,
yjiY,-,4587152,4589302,,,,,,,,,
tsr,+,4589680,4591335,,,,,,,,,
lgoT,-,4591384,4592745,,,,,,,,,
lgoR,-,4592960,4593874,,,,,,,,,
lgoD,+,4594013,4595035,,,,,,,,,
opgB,-,4595173,4597464,,,,,,,,,
yjjA,-,4597718,4598212,,,,,,,,,
dnaC,-,4598261,4598998,,,,,,,,,
dnaT,-,4599001,4599540,,,,,,,,,
yjjB,-,4599647,4599973,,,,,,,,,
yjjP,-,4600111,4600881,,,,,,,,,
yjjQ,+,4601500,4602225,,,,,,,,,
bglJ,+,4602183,4602860,,,,,,,,,
fhuF,-,4602898,4603686,,,,,,,,,
yjjZ,+,4603827,4604063,,,,,,,,,
leuV,-,4604102,4604188,,,,,,,,,
leuP,-,4604223,4604309,,,,,,,,,
leuQ,-,4604338,4604424,,,,,,,,,
rsmC,-,4604692,4605723,,,,,,,,,
holD,+,4605826,4606239,,,,,,,,,
rimI,+,4606208,4606654,,,,,,,,,
yjjG,+,4606669,4607346,,,,,,,,,
prfC,+,4607437,4609026,,,,,,,,,
osmY,+,4609419,4610024,,,,,,,,,
ytjA,+,4610133,4610312,,,,,,,,,
yjjU,+,4610434,4611507,,,,,,,,,
yjjV,+,4611504,4612283,,,,,,,,,
yjjW,-,4612703,4613566,,,,,,,,,
yjjI,-,4613538,4615088,,,,,,,,,
deoC,+,4615346,4616125,,,,,,,,,
deoA,+,4616252,4617574,,,,,,,,,
deoB,+,4617626,4618849,,,,,,,,,
deoD,+,4618906,4619625,,,,,,,,,
yjjJ,+,4619792,4621123,,,,,,,,,
lplA,-,4621124,4622140,,,,,,,,,
ytjB,-,4622168,4622812,,,,,,,,,
serB,+,4622918,4623886,,,,,,,,,
radA,+,4623935,4625317,,,,,,,,,
nadR,+,4625338,4626570,,,,,,,,,
ettA,-,4626878,4628545,,,,,,,,,
slt,+,4628756,4630693,,,,,,,,,
trpR,+,4630783,4631109,,,,,,,,,
yjjX,-,4631256,4631768,,,,,,,,,
ytjC,+,4631820,4632467,,,,,,,,,
rob,-,4632464,4633333,,,,,,,,,
creA,+,4633544,4634017,,,,,,,,,
creB,+,4634030,4634719,,,,,,,,,
creC,+,4634719,4636143,,,,,,,,,
creD,+,4636201,4637553,,,,,,,,,
arcA,-,4637613,4638329,,,,,,,,,
yjjY,+,4638425,4638565,,,,,,,,,
yjtD,+,4638965,4639651,,,,,,,,,
dgd,,,,,,,,,,,,
alaB,,,,,,,,,,,,
